entity_type,entity_id,risk,code,detail
trade,T0003269,0.85,OVERPRICED,+3.7σ vs median
trade,T0003270,0.85,OVERPRICED,+3.7σ vs median
trade,T0003467,0.85,OVERPRICED,+3.7σ vs median
trade,T0003468,0.85,OVERPRICED,+3.7σ vs median
trade,T0003426,0.85,OVERPRICED,+3.7σ vs median
trade,T0003537,0.85,OVERPRICED,+3.7σ vs median
trade,T0005696,0.85,UNDERPRICED,-276.6σ vs median
trade,T0005701,0.85,UNDERPRICED,-276.6σ vs median
trade,T0001134,0.85,UNDERPRICED,-16.0σ vs median
trade,T0001376,0.85,UNDERPRICED,-16.4σ vs median
trade,T0005692,0.85,UNDERPRICED,-40.2σ vs median
trade,T0002746,0.85,OVERPRICED,+48.5σ vs median
trade,T0002750,0.85,OVERPRICED,+48.5σ vs median
trade,T0002885,0.85,OVERPRICED,+48.5σ vs median
trade,T0002925,0.85,OVERPRICED,+48.5σ vs median
trade,T0002949,0.85,OVERPRICED,+48.5σ vs median
trade,T0002966,0.85,OVERPRICED,+48.5σ vs median
trade,T0002336,0.85,OVERPRICED,+2.7σ vs median
trade,T0002371,0.85,OVERPRICED,+7.4σ vs median
trade,T0002373,0.85,OVERPRICED,+7.4σ vs median
trade,T0002338,0.85,OVERPRICED,+7.4σ vs median
trade,T0002435,0.85,OVERPRICED,+7.4σ vs median
trade,T0002410,0.85,OVERPRICED,+7.4σ vs median
trade,T0002458,0.85,OVERPRICED,+7.4σ vs median
trade,T0002473,0.85,OVERPRICED,+7.4σ vs median
trade,T0002479,0.85,OVERPRICED,+7.4σ vs median
trade,T0002592,0.85,OVERPRICED,+7.4σ vs median
trade,T0002648,0.85,OVERPRICED,+7.4σ vs median
trade,T0002689,0.85,OVERPRICED,+7.4σ vs median
trade,T0002773,0.85,OVERPRICED,+7.4σ vs median
trade,T0002733,0.85,OVERPRICED,+7.4σ vs median
trade,T0002832,0.85,OVERPRICED,+7.4σ vs median
trade,T0002831,0.85,OVERPRICED,+7.4σ vs median
trade,T0005198,0.85,OVERPRICED,+43.2σ vs median
trade,T0005242,0.85,OVERPRICED,+42.5σ vs median
trade,T0005206,0.85,OVERPRICED,+20.9σ vs median
trade,T0005226,0.85,OVERPRICED,+20.9σ vs median
trade,T0005295,0.85,OVERPRICED,+20.9σ vs median
trade,T0005350,0.85,UNDERPRICED,-52.6σ vs median
trade,T0005343,0.85,UNDERPRICED,-52.6σ vs median
trade,T0005345,0.85,UNDERPRICED,-3.3σ vs median
trade,T0000873,0.85,UNDERPRICED,-42.3σ vs median
trade,T0000964,0.85,UNDERPRICED,-21.2σ vs median
trade,T0000954,0.85,UNDERPRICED,-14.1σ vs median
trade,T0001064,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001093,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001248,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001235,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001267,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001310,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001384,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001361,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001345,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001364,0.85,UNDERPRICED,-10.6σ vs median
trade,T0001363,0.85,UNDERPRICED,-10.6σ vs median
trade,T0004737,0.85,UNDERPRICED,-2.5σ vs median
trade,T0000366,0.85,UNDERPRICED,-5.6σ vs median
trade,T0000349,0.85,UNDERPRICED,-2.8σ vs median
trade,T0005703,0.85,UNDERPRICED,-4.3σ vs median
trade,T0003544,0.85,OVERPRICED,+29.2σ vs median
trade,T0003551,0.85,OVERPRICED,+14.6σ vs median
trade,T0004515,0.85,UNDERPRICED,-6.2σ vs median
trade,T0004483,0.85,UNDERPRICED,-3.1σ vs median
trade,T0005709,0.85,UNDERPRICED,-3.1σ vs median
trade,T0003151,0.85,OVERPRICED,+37.4σ vs median
trade,T0003229,0.85,OVERPRICED,+161.2σ vs median
trade,T0003296,0.85,OVERPRICED,+161.2σ vs median
trade,T0003273,0.85,OVERPRICED,+161.2σ vs median
trade,T0003356,0.85,OVERPRICED,+161.2σ vs median
trade,T0003417,0.85,OVERPRICED,+161.2σ vs median
trade,T0003385,0.85,OVERPRICED,+161.2σ vs median
trade,T0003401,0.85,OVERPRICED,+161.2σ vs median
trade,T0003362,0.85,OVERPRICED,+161.2σ vs median
trade,T0003447,0.85,OVERPRICED,+161.2σ vs median
trade,T0003478,0.85,OVERPRICED,+161.2σ vs median
trade,T0003461,0.85,OVERPRICED,+161.2σ vs median
trade,T0003471,0.85,OVERPRICED,+161.2σ vs median
trade,T0003489,0.85,OVERPRICED,+161.2σ vs median
trade,T0003506,0.85,OVERPRICED,+161.2σ vs median
trade,T0003572,0.85,OVERPRICED,+161.2σ vs median
trade,T0003653,0.85,OVERPRICED,+161.2σ vs median
trade,T0003693,0.85,OVERPRICED,+16.9σ vs median
trade,T0004390,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004369,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004416,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004444,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004462,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004427,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004531,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004514,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004484,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004599,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004718,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004754,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004747,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004781,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004837,0.85,UNDERPRICED,-90.2σ vs median
trade,T0004868,0.85,UNDERPRICED,-90.2σ vs median
trade,T0005041,0.85,OVERPRICED,+141.0σ vs median
trade,T0005684,0.85,OVERPRICED,+6.1σ vs median
trade,T0005683,0.85,OVERPRICED,+6.1σ vs median
trade,T0005686,0.85,OVERPRICED,+6.1σ vs median
trade,T0000117,0.85,UNDERPRICED,-6.1σ vs median
trade,T0000180,0.85,UNDERPRICED,-6.1σ vs median
trade,T0000240,0.85,UNDERPRICED,-6.1σ vs median
trade,T0001593,0.85,UNDERPRICED,-3.2σ vs median
trade,T0001588,0.85,UNDERPRICED,-3.2σ vs median
trade,T0001744,0.85,UNDERPRICED,-3.2σ vs median
trade,T0001722,0.85,UNDERPRICED,-3.2σ vs median
trade,T0001825,0.85,UNDERPRICED,-3.2σ vs median
trade,T0001898,0.85,UNDERPRICED,-2.5σ vs median
trade,T0001947,0.85,UNDERPRICED,-3.0σ vs median
trade,T0001964,0.85,UNDERPRICED,-3.0σ vs median
trade,T0001914,0.85,UNDERPRICED,-3.0σ vs median
trade,T0001956,0.85,UNDERPRICED,-3.0σ vs median
trade,T0002006,0.85,UNDERPRICED,-3.0σ vs median
trade,T0001975,0.85,UNDERPRICED,-3.0σ vs median
trade,T0001987,0.85,UNDERPRICED,-3.0σ vs median
trade,T0002082,0.85,UNDERPRICED,-3.0σ vs median
trade,T0002054,0.85,UNDERPRICED,-3.0σ vs median
trade,T0002135,0.85,UNDERPRICED,-3.0σ vs median
trade,T0005721,0.85,UNDERPRICED,-3.7σ vs median
trade,T0005173,0.85,OVERPRICED,+5.6σ vs median
trade,T0005205,0.85,OVERPRICED,+5.6σ vs median
trade,T0005227,0.85,OVERPRICED,+2.8σ vs median
trade,T0005287,0.85,OVERPRICED,+2.8σ vs median
trade,T0005366,0.85,OVERPRICED,+5.6σ vs median
trade,T0005327,0.85,OVERPRICED,+2.8σ vs median
trade,T0005465,0.85,OVERPRICED,+5.6σ vs median
trade,T0005501,0.85,OVERPRICED,+2.8σ vs median
trade,T0001944,0.85,OVERPRICED,+4.8σ vs median
trade,T0002427,0.85,OVERPRICED,+3.9σ vs median
trade,T0002464,0.85,OVERPRICED,+3.9σ vs median
trade,T0002485,0.85,OVERPRICED,+3.9σ vs median
trade,T0000050,0.85,UNDERPRICED,-20.0σ vs median
trade,T0005691,0.85,UNDERPRICED,-9.6σ vs median
trade,T0002223,0.85,OVERPRICED,+11.1σ vs median
trade,T0002217,0.85,OVERPRICED,+11.1σ vs median
trade,T0002246,0.85,OVERPRICED,+11.1σ vs median
trade,T0002302,0.85,OVERPRICED,+11.1σ vs median
trade,T0002330,0.85,OVERPRICED,+11.1σ vs median
trade,T0002442,0.85,OVERPRICED,+11.1σ vs median
trade,T0002454,0.85,OVERPRICED,+10.8σ vs median
trade,T0002564,0.85,OVERPRICED,+25.5σ vs median
trade,T0002595,0.85,OVERPRICED,+25.5σ vs median
trade,T0005697,0.85,UNDERPRICED,-380.0σ vs median
trade,T0002848,0.85,OVERPRICED,+25.5σ vs median
trade,T0002801,0.85,OVERPRICED,+25.5σ vs median
trade,T0002806,0.85,OVERPRICED,+3.0σ vs median
trade,T0004131,0.85,OVERPRICED,+3.2σ vs median
trade,T0004386,0.85,UNDERPRICED,-6.2σ vs median
trade,T0004450,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004443,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004571,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004634,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004651,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004678,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004758,0.85,UNDERPRICED,-18.1σ vs median
trade,T0004740,0.85,UNDERPRICED,-9.0σ vs median
trade,T0004848,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004950,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004917,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004960,0.85,UNDERPRICED,-14.4σ vs median
trade,T0004987,0.85,UNDERPRICED,-3.9σ vs median
trade,T0000213,0.85,UNDERPRICED,-3.4σ vs median
trade,T0002993,0.85,OVERPRICED,+5.7σ vs median
trade,T0005717,0.85,UNDERPRICED,-4.3σ vs median
trade,T0005705,0.85,UNDERPRICED,-3.9σ vs median
trade,T0005648,0.85,OVERPRICED,+23.2σ vs median
trade,T0005647,0.85,OVERPRICED,+23.2σ vs median
trade,T0000132,0.85,UNDERPRICED,-23.2σ vs median
trade,T0000144,0.85,UNDERPRICED,-23.2σ vs median
trade,T0000150,0.85,UNDERPRICED,-23.2σ vs median
trade,T0002046,0.85,OVERPRICED,+9.8σ vs median
trade,T0002086,0.85,OVERPRICED,+7.4σ vs median
trade,T0002102,0.85,OVERPRICED,+7.4σ vs median
trade,T0002197,0.85,OVERPRICED,+7.4σ vs median
trade,T0002194,0.85,OVERPRICED,+7.4σ vs median
trade,T0002173,0.85,OVERPRICED,+7.4σ vs median
trade,T0002244,0.85,OVERPRICED,+7.4σ vs median
trade,T0002278,0.85,OVERPRICED,+7.4σ vs median
trade,T0002325,0.85,OVERPRICED,+7.4σ vs median
trade,T0002321,0.85,OVERPRICED,+7.4σ vs median
trade,T0002327,0.85,OVERPRICED,+7.4σ vs median
trade,T0002315,0.85,OVERPRICED,+7.4σ vs median
trade,T0002342,0.85,OVERPRICED,+7.4σ vs median
trade,T0002476,0.85,OVERPRICED,+7.4σ vs median
trade,T0002450,0.85,OVERPRICED,+7.4σ vs median
trade,T0005693,0.85,UNDERPRICED,-186.2σ vs median
trade,T0002869,0.85,OVERPRICED,+2.8σ vs median
trade,T0002908,0.85,OVERPRICED,+2.8σ vs median
trade,T0002952,0.85,OVERPRICED,+2.8σ vs median
trade,T0002992,0.85,OVERPRICED,+2.8σ vs median
trade,T0000984,0.85,UNDERPRICED,-11.7σ vs median
trade,T0000927,0.85,UNDERPRICED,-5.5σ vs median
trade,T0001039,0.85,UNDERPRICED,-5.5σ vs median
trade,T0001026,0.85,UNDERPRICED,-5.5σ vs median
trade,T0001051,0.85,UNDERPRICED,-5.5σ vs median
trade,T0001122,0.85,UNDERPRICED,-5.5σ vs median
trade,T0001127,0.85,UNDERPRICED,-5.5σ vs median
trade,T0001108,0.85,UNDERPRICED,-5.5σ vs median
trade,T0002408,0.85,UNDERPRICED,-4.5σ vs median
trade,T0002451,0.85,UNDERPRICED,-4.5σ vs median
trade,T0002533,0.85,UNDERPRICED,-4.5σ vs median
trade,T0002567,0.85,UNDERPRICED,-4.5σ vs median
trade,T0004876,0.85,UNDERPRICED,-8.2σ vs median
trade,T0004931,0.85,UNDERPRICED,-8.2σ vs median
trade,T0004955,0.85,UNDERPRICED,-6.3σ vs median
trade,T0005003,0.85,UNDERPRICED,-5.1σ vs median
trade,T0004983,0.85,UNDERPRICED,-5.1σ vs median
trade,T0005002,0.85,UNDERPRICED,-5.1σ vs median
trade,T0004986,0.85,UNDERPRICED,-5.1σ vs median
trade,T0005018,0.85,UNDERPRICED,-5.1σ vs median
trade,T0005060,0.85,UNDERPRICED,-5.1σ vs median
trade,T0005082,0.85,UNDERPRICED,-4.8σ vs median
trade,T0005108,0.85,UNDERPRICED,-4.4σ vs median
trade,T0005143,0.85,UNDERPRICED,-4.4σ vs median
trade,T0005160,0.85,UNDERPRICED,-4.4σ vs median
trade,T0005225,0.85,UNDERPRICED,-4.4σ vs median
trade,T0005284,0.85,UNDERPRICED,-3.8σ vs median
trade,T0005410,0.85,UNDERPRICED,-3.8σ vs median
trade,T0005404,0.85,UNDERPRICED,-3.8σ vs median
trade,T0005384,0.85,UNDERPRICED,-3.8σ vs median
trade,T0005445,0.85,UNDERPRICED,-3.8σ vs median
trade,T0000092,0.85,UNDERPRICED,-22.5σ vs median
trade,T0000118,0.85,UNDERPRICED,-22.5σ vs median
trade,T0000206,0.85,UNDERPRICED,-22.5σ vs median
trade,T0000233,0.85,UNDERPRICED,-22.5σ vs median
trade,T0000254,0.85,UNDERPRICED,-22.5σ vs median
trade,T0000343,0.85,UNDERPRICED,-22.5σ vs median
trade,T0005129,0.85,UNDERPRICED,-6.7σ vs median
trade,T0005087,0.85,UNDERPRICED,-6.7σ vs median
trade,T0005144,0.85,UNDERPRICED,-6.7σ vs median
trade,T0005250,0.85,UNDERPRICED,-6.7σ vs median
trade,T0005221,0.85,UNDERPRICED,-6.7σ vs median
trade,T0005270,0.85,UNDERPRICED,-6.7σ vs median
trade,T0005360,0.85,UNDERPRICED,-8.8σ vs median
trade,T0005325,0.85,UNDERPRICED,-8.8σ vs median
trade,T0005341,0.85,UNDERPRICED,-8.8σ vs median
trade,T0005392,0.85,UNDERPRICED,-8.8σ vs median
trade,T0005437,0.85,UNDERPRICED,-8.8σ vs median
trade,T0005535,0.85,UNDERPRICED,-8.8σ vs median
trade,T0005601,0.85,UNDERPRICED,-5.9σ vs median
trade,T0005612,0.85,UNDERPRICED,-4.5σ vs median
trade,T0003905,0.85,UNDERPRICED,-2.7σ vs median
trade,T0003883,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004042,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004016,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004021,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004054,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004130,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004220,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004222,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004227,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004286,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004249,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004364,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004421,0.85,UNDERPRICED,-2.7σ vs median
trade,T0004485,0.85,UNDERPRICED,-2.7σ vs median
trade,T0002580,0.85,OVERPRICED,+587.6σ vs median
trade,T0002576,0.85,OVERPRICED,+587.6σ vs median
trade,T0004632,0.85,UNDERPRICED,-3.1σ vs median
trade,T0004648,0.85,UNDERPRICED,-2.7σ vs median
trade,T0000370,0.85,UNDERPRICED,-23.7σ vs median
trade,T0000361,0.85,UNDERPRICED,-11.5σ vs median
trade,T0000368,0.85,UNDERPRICED,-11.5σ vs median
trade,T0000448,0.85,UNDERPRICED,-11.5σ vs median
trade,T0001905,0.85,OVERPRICED,+4.7σ vs median
trade,T0001906,0.85,OVERPRICED,+4.3σ vs median
trade,T0002014,0.85,OVERPRICED,+2.7σ vs median
trade,T0001979,0.85,OVERPRICED,+2.7σ vs median
trade,T0005715,0.85,UNDERPRICED,-28.8σ vs median
trade,T0002066,0.85,OVERPRICED,+2.7σ vs median
trade,T0002094,0.85,OVERPRICED,+2.7σ vs median
trade,T0002147,0.85,OVERPRICED,+2.7σ vs median
trade,T0002112,0.85,OVERPRICED,+2.7σ vs median
trade,T0002165,0.85,OVERPRICED,+2.7σ vs median
trade,T0002195,0.85,OVERPRICED,+2.7σ vs median
trade,T0002206,0.85,OVERPRICED,+2.7σ vs median
trade,T0002205,0.85,OVERPRICED,+2.7σ vs median
trade,T0002209,0.85,OVERPRICED,+2.7σ vs median
trade,T0002391,0.85,OVERPRICED,+2.7σ vs median
trade,T0005711,0.85,UNDERPRICED,-3.5σ vs median
trade,T0004229,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004294,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004356,0.85,UNDERPRICED,-2.9σ vs median
trade,T0000262,0.85,UNDERPRICED,-8.0σ vs median
trade,T0000324,0.85,UNDERPRICED,-4.0σ vs median
trade,T0000335,0.85,UNDERPRICED,-2.7σ vs median
trade,T0003450,0.85,OVERPRICED,+3.2σ vs median
trade,T0003452,0.85,OVERPRICED,+3.2σ vs median
trade,T0003518,0.85,OVERPRICED,+3.0σ vs median
trade,T0003525,0.85,OVERPRICED,+2.8σ vs median
trade,T0003581,0.85,OVERPRICED,+2.8σ vs median
trade,T0003585,0.85,OVERPRICED,+2.8σ vs median
trade,T0003560,0.85,OVERPRICED,+2.8σ vs median
trade,T0003662,0.85,OVERPRICED,+3.0σ vs median
trade,T0003696,0.85,OVERPRICED,+2.8σ vs median
trade,T0003772,0.85,OVERPRICED,+3.0σ vs median
trade,T0003774,0.85,OVERPRICED,+2.8σ vs median
trade,T0003840,0.85,OVERPRICED,+2.8σ vs median
trade,T0001251,0.85,UNDERPRICED,-5.7σ vs median
trade,T0001249,0.85,UNDERPRICED,-2.9σ vs median
trade,T0001270,0.85,UNDERPRICED,-2.9σ vs median
trade,T0001268,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004374,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004411,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004378,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004412,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004405,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004558,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004551,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004584,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004642,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004679,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004712,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004729,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004805,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004804,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004816,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004905,0.85,UNDERPRICED,-2.9σ vs median
trade,T0004942,0.85,UNDERPRICED,-2.9σ vs median
trade,T0005005,0.85,UNDERPRICED,-2.9σ vs median
trade,T0000121,0.85,UNDERPRICED,-15.1σ vs median
trade,T0000112,0.85,UNDERPRICED,-15.1σ vs median
trade,T0000105,0.85,UNDERPRICED,-15.1σ vs median
trade,T0000137,0.85,UNDERPRICED,-15.1σ vs median
trade,T0000174,0.85,UNDERPRICED,-15.1σ vs median
trade,T0000191,0.85,UNDERPRICED,-15.1σ vs median
trade,T0000811,0.85,UNDERPRICED,-2.5σ vs median
trade,T0000832,0.85,UNDERPRICED,-2.5σ vs median
trade,T0000843,0.85,UNDERPRICED,-2.5σ vs median
trade,T0000868,0.85,UNDERPRICED,-3.0σ vs median
trade,T0000940,0.85,UNDERPRICED,-3.0σ vs median
trade,T0000956,0.85,UNDERPRICED,-2.8σ vs median
trade,T0000930,0.85,UNDERPRICED,-2.6σ vs median
trade,T0000386,0.85,UNDERPRICED,-3.2σ vs median
trade,T0000453,0.85,UNDERPRICED,-3.2σ vs median
trade,T0004451,0.85,OVERPRICED,+10.6σ vs median
trade,T0004455,0.85,OVERPRICED,+5.3σ vs median
trade,T0004576,0.85,OVERPRICED,+71.9σ vs median
trade,T0000484,0.85,UNDERPRICED,-7.8σ vs median
trade,T0000487,0.85,UNDERPRICED,-3.9σ vs median
trade,T0000533,0.85,UNDERPRICED,-2.6σ vs median
trade,T0000631,0.85,UNDERPRICED,-3.1σ vs median
trade,T0000621,0.85,UNDERPRICED,-3.1σ vs median
trade,T0004301,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004268,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004240,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004264,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004366,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004379,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004413,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004501,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004568,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004563,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004650,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004614,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004666,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004643,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004769,0.85,UNDERPRICED,-3.4σ vs median
trade,T0004910,0.85,UNDERPRICED,-3.4σ vs median
trade,T0001215,0.85,UNDERPRICED,-2.5σ vs median
trade,T0001159,0.85,UNDERPRICED,-2.5σ vs median
trade,T0001157,0.85,UNDERPRICED,-2.5σ vs median
trade,T0001253,0.85,UNDERPRICED,-2.5σ vs median
trade,T0001315,0.85,UNDERPRICED,-2.5σ vs median
trade,T0001406,0.85,UNDERPRICED,-2.5σ vs median
trade,T0001434,0.85,UNDERPRICED,-2.5σ vs median
trade,T0001482,0.85,UNDERPRICED,-2.5σ vs median
trade,T0001478,0.85,UNDERPRICED,-9.2σ vs median
trade,T0001496,0.85,UNDERPRICED,-4.6σ vs median
trade,T0001473,0.85,UNDERPRICED,-3.1σ vs median
trade,T0002953,0.85,OVERPRICED,+9.5σ vs median
trade,T0002914,0.85,OVERPRICED,+6.6σ vs median
trade,T0002941,0.85,OVERPRICED,+5.0σ vs median
trade,T0003101,0.85,OVERPRICED,+2.6σ vs median
trade,T0004254,0.85,OVERPRICED,+4.7σ vs median
trade,T0004760,0.85,OVERPRICED,+83.6σ vs median
trade,T0005273,0.85,UNDERPRICED,-18.4σ vs median
trade,T0005460,0.85,UNDERPRICED,-19.1σ vs median
trade,T0005491,0.85,UNDERPRICED,-19.1σ vs median
trade,T0005516,0.85,UNDERPRICED,-19.1σ vs median
trade,T0005530,0.85,UNDERPRICED,-19.1σ vs median
trade,T0005568,0.85,UNDERPRICED,-19.1σ vs median
trade,T0005566,0.85,UNDERPRICED,-19.1σ vs median
trade,T0005596,0.85,UNDERPRICED,-19.1σ vs median
trade,T0005603,0.85,UNDERPRICED,-19.1σ vs median
trade,T0000360,0.85,UNDERPRICED,-2.8σ vs median
trade,T0000444,0.85,UNDERPRICED,-2.8σ vs median
trade,T0000545,0.85,UNDERPRICED,-2.8σ vs median
trade,T0000588,0.85,UNDERPRICED,-3.7σ vs median
trade,T0005729,0.85,OVERPRICED,+2.5σ vs median
trade,T0005726,0.85,OVERPRICED,+3.0σ vs median
trade,T0005727,0.85,OVERPRICED,+3.3σ vs median
trade,T0005199,0.85,UNDERPRICED,-4.7σ vs median
trade,T0005196,0.85,UNDERPRICED,-4.7σ vs median
trade,T0005223,0.85,UNDERPRICED,-2.8σ vs median
trade,T0001633,0.85,OVERPRICED,+3.8σ vs median
trade,T0001655,0.85,OVERPRICED,+2.9σ vs median
trade,T0001664,0.85,OVERPRICED,+2.9σ vs median
trade,T0001656,0.85,OVERPRICED,+2.9σ vs median
trade,T0001662,0.85,OVERPRICED,+2.9σ vs median
trade,T0001663,0.85,OVERPRICED,+2.9σ vs median
trade,T0001649,0.85,OVERPRICED,+2.9σ vs median
trade,T0001639,0.85,OVERPRICED,+2.9σ vs median
trade,T0001837,0.85,OVERPRICED,+7.3σ vs median
trade,T0001808,0.85,OVERPRICED,+7.3σ vs median
trade,T0001783,0.85,OVERPRICED,+7.3σ vs median
trade,T0001976,0.85,OVERPRICED,+15.8σ vs median
trade,T0002017,0.85,OVERPRICED,+15.8σ vs median
