listing_id,ts,seller_id,region,item_id,qty,list_price,expires_at
L0000022,2025-01-01 00:00:00,P00240,EU,I0030,1,56.24,2025-01-02 02:00:00
L0000023,2025-01-01 00:00:00,P00245,EU,I0026,2,57.7,2025-01-02 00:00:00
L0000024,2025-01-01 00:00:00,P00259,EU,I0003,1,74.12,2025-01-02 00:00:00
L0000025,2025-01-01 00:00:00,P00270,NA,I0037,2,427.47,2025-01-02 11:00:00
L0000026,2025-01-01 00:00:00,P00282,EU,I0023,1,72.44,2025-01-01 18:00:00
L0004516,2025-01-01 00:33:00,P00178,,I0029,1,81.29,2025-01-01 06:33:00
L0004541,2025-01-01 00:40:00,P00239,,I0016,1,72.89,2025-01-01 06:40:00
L0004502,2025-01-01 00:42:00,P00184,,I0021,1,63.87,2025-01-01 06:42:00
L0004509,2025-01-01 00:43:00,P00458,,I0038,1,112.86,2025-01-01 06:43:00
L0004508,2025-01-01 00:44:00,P00097,,I0038,1,112.86,2025-01-01 06:44:00
L0004535,2025-01-01 00:45:00,P00078,,I0003,1,113.65,2025-01-01 06:45:00
L0004510,2025-01-01 00:45:00,P00524,,I0038,1,112.86,2025-01-01 06:45:00
L0004524,2025-01-01 00:46:00,P00186,,I0005,1,93.04,2025-01-01 06:46:00
L0004527,2025-01-01 00:48:00,P00186,,I0005,1,93.04,2025-01-01 06:48:00
L0004543,2025-01-01 00:49:00,P00104,,I0016,1,72.89,2025-01-01 06:49:00
L0004536,2025-01-01 00:52:00,P00431,,I0003,1,113.65,2025-01-01 06:52:00
L0004525,2025-01-01 00:52:00,P00055,,I0005,1,93.04,2025-01-01 06:52:00
L0004520,2025-01-01 00:54:00,P00069,,I0029,1,81.29,2025-01-01 06:54:00
L0004545,2025-01-01 00:55:00,P00332,,I0016,1,72.89,2025-01-01 06:55:00
L0004504,2025-01-01 00:57:00,P00291,,I0021,1,63.87,2025-01-01 06:57:00
L0004503,2025-01-01 00:57:00,P00416,,I0021,1,63.87,2025-01-01 06:57:00
L0004519,2025-01-01 00:59:00,P00178,,I0029,1,81.29,2025-01-01 06:59:00
L0000058,2025-01-01 01:00:00,P00015,NA,I0003,1,75.18,2025-01-02 10:00:00
L0004501,2025-01-01 01:00:00,P00291,,I0021,1,63.87,2025-01-01 07:00:00
L0000098,2025-01-01 01:00:00,P00519,NA,I0025,2,76.92,2025-01-02 06:00:00
L0000096,2025-01-01 01:00:00,P00485,EU,I0000,2,89.88,2025-01-02 00:00:00
L0000090,2025-01-01 01:00:00,P00285,EU,I0039,2,67.7,2025-01-01 18:00:00
L0000094,2025-01-01 01:00:00,P00438,NA,I0029,1,50.09,2025-01-02 08:00:00
L0000063,2025-01-01 01:00:00,P00080,EU,I0003,1,62.63,2025-01-02 02:00:00
L0000092,2025-01-01 01:00:00,P00382,NA,I0031,2,46.36,2025-01-02 00:00:00
L0000059,2025-01-01 01:00:00,P00018,NA,I0015,1,32.64,2025-01-01 13:00:00
L0000095,2025-01-01 01:00:00,P00454,NA,I0028,2,40.11,2025-01-02 03:00:00
L0000062,2025-01-01 01:00:00,P00072,ASIA,I0037,1,464.83,2025-01-01 22:00:00
L0000078,2025-01-01 01:00:00,P00199,NA,I0029,1,40.48,2025-01-02 09:00:00
L0000093,2025-01-01 01:00:00,P00431,EU,I0010,1,51.02,2025-01-02 00:00:00
L0000079,2025-01-01 01:00:00,P00200,ASIA,I0033,1,49.97,2025-01-02 00:00:00
L0000081,2025-01-01 01:00:00,P00206,ASIA,I0009,2,61.18,2025-01-02 09:00:00
L0000089,2025-01-01 01:00:00,P00270,NA,I0021,2,33.83,2025-01-01 21:00:00
L0000103,2025-01-01 01:00:00,P00580,ASIA,I0021,1,36.93,2025-01-02 02:00:00
L0000060,2025-01-01 01:00:00,P00024,EU,I0005,2,55.11,2025-01-02 06:00:00
L0000101,2025-01-01 01:00:00,P00542,NA,I0034,1,90.77,2025-01-01 17:00:00
L0000100,2025-01-01 01:00:00,P00528,EU,I0020,1,68.39,2025-01-01 19:00:00
L0000099,2025-01-01 01:00:00,P00522,EU,I0000,1,103.11,2025-01-01 20:00:00
L0000056,2025-01-01 01:00:00,P00000,NA,I0036,2,25.31,2025-01-01 19:00:00
L0000102,2025-01-01 01:00:00,P00546,EU,I0030,4,46.19,2025-01-01 19:00:00
L0000080,2025-01-01 01:00:00,P00202,NA,I0036,1,23.13,2025-01-02 05:00:00
L0000088,2025-01-01 01:00:00,P00269,ASIA,I0022,1,376.23,2025-01-01 16:00:00
L0004540,2025-01-01 01:00:00,P00104,,I0016,1,72.89,2025-01-01 07:00:00
L0000087,2025-01-01 01:00:00,P00260,EU,I0018,1,51.53,2025-01-01 19:00:00
L0000066,2025-01-01 01:00:00,P00106,NA,I0032,2,28.38,2025-01-01 17:00:00
L0000057,2025-01-01 01:00:00,P00014,NA,I0026,1,58.99,2025-01-02 08:00:00
L0000068,2025-01-01 01:00:00,P00138,NA,I0028,1,39.18,2025-01-01 14:00:00
L0000067,2025-01-01 01:00:00,P00136,ASIA,I0000,1,75.45,2025-01-02 07:00:00
L0000077,2025-01-01 01:00:00,P00192,EU,I0034,1,74.79,2025-01-01 13:00:00
L0000075,2025-01-01 01:00:00,P00166,NA,I0011,2,309.56,2025-01-02 03:00:00
L0000073,2025-01-01 01:00:00,P00158,EU,I0012,1,448.62,2025-01-02 06:00:00
L0000076,2025-01-01 01:00:00,P00170,NA,I0018,1,53.89,2025-01-02 04:00:00
L0000071,2025-01-01 01:00:00,P00152,NA,I0030,1,43.55,2025-01-02 00:00:00
L0000070,2025-01-01 01:00:00,P00147,EU,I0010,3,46.2,2025-01-02 09:00:00
L0000069,2025-01-01 01:00:00,P00142,EU,I0030,2,49.97,2025-01-02 06:00:00
L0000074,2025-01-01 01:00:00,P00164,NA,I0034,2,67.13,2025-01-02 11:00:00
L0000082,2025-01-01 01:00:00,P00225,EU,I0018,1,59.97,2025-01-02 10:00:00
L0000072,2025-01-01 01:00:00,P00154,NA,I0028,2,47.75,2025-01-02 05:00:00
L0000085,2025-01-01 01:00:00,P00245,EU,I0039,2,49.55,2025-01-01 13:00:00
L0000084,2025-01-01 01:00:00,P00230,EU,I0032,1,36.65,2025-01-02 00:00:00
L0000083,2025-01-01 01:00:00,P00226,NA,I0008,4,58.28,2025-01-01 19:00:00
L0000091,2025-01-01 01:00:00,P00302,NA,I0013,3,44.61,2025-01-02 01:00:00
L0000086,2025-01-01 01:00:00,P00247,NA,I0004,1,73.07,2025-01-02 04:00:00
L0000097,2025-01-01 01:00:00,P00494,NA,I0006,1,495.97,2025-01-02 06:00:00
L0000064,2025-01-01 01:00:00,P00082,NA,I0003,2,56.4,2025-01-01 19:00:00
L0000065,2025-01-01 01:00:00,P00095,NA,I0033,1,52.42,2025-01-01 16:00:00
L0000061,2025-01-01 01:00:00,P00041,ASIA,I0016,2,45.8,2025-01-02 00:00:00
L0004532,2025-01-01 01:01:00,P00078,,I0003,1,113.65,2025-01-01 07:01:00
L0004511,2025-01-01 01:04:00,P00097,,I0038,1,112.86,2025-01-01 07:04:00
L0004512,2025-01-01 01:05:00,P00458,,I0038,1,112.86,2025-01-01 07:05:00
L0004533,2025-01-01 01:05:00,P00431,,I0003,1,113.65,2025-01-01 07:05:00
L0004513,2025-01-01 01:06:00,P00524,,I0038,1,112.86,2025-01-01 07:06:00
L0004521,2025-01-01 01:06:00,P00011,,I0029,1,81.29,2025-01-01 07:06:00
L0004546,2025-01-01 01:09:00,P00104,,I0016,1,72.89,2025-01-01 07:09:00
L0004539,2025-01-01 01:11:00,P00431,,I0003,1,113.65,2025-01-01 07:11:00
L0004538,2025-01-01 01:15:00,P00078,,I0003,1,113.65,2025-01-01 07:15:00
L0004507,2025-01-01 01:16:00,P00291,,I0021,1,63.87,2025-01-01 07:16:00
L0004537,2025-01-01 01:17:00,P00547,,I0003,1,113.65,2025-01-01 07:17:00
L0004523,2025-01-01 01:18:00,P00069,,I0029,1,81.29,2025-01-01 07:18:00
L0004518,2025-01-01 01:18:00,P00011,,I0029,1,81.29,2025-01-01 07:18:00
L0004526,2025-01-01 01:19:00,P00212,,I0005,1,93.04,2025-01-01 07:19:00
L0004530,2025-01-01 01:19:00,P00186,,I0005,1,93.04,2025-01-01 07:19:00
L0004542,2025-01-01 01:21:00,P00332,,I0016,1,72.89,2025-01-01 07:21:00
L0004534,2025-01-01 01:21:00,P00547,,I0003,1,113.65,2025-01-01 07:21:00
L0004515,2025-01-01 01:24:00,P00458,,I0038,1,112.86,2025-01-01 07:24:00
L0004506,2025-01-01 01:27:00,P00416,,I0021,1,63.87,2025-01-01 07:27:00
L0004531,2025-01-01 01:28:00,P00055,,I0005,1,93.04,2025-01-01 07:28:00
L0004500,2025-01-01 01:28:00,P00416,,I0021,1,63.87,2025-01-01 07:28:00
L0004517,2025-01-01 01:32:00,P00069,,I0029,1,81.29,2025-01-01 07:32:00
L0004528,2025-01-01 01:35:00,P00055,,I0005,1,93.04,2025-01-01 07:35:00
L0004529,2025-01-01 01:37:00,P00212,,I0005,1,93.04,2025-01-01 07:37:00
L0004514,2025-01-01 01:42:00,P00097,,I0038,1,112.86,2025-01-01 07:42:00
L0004544,2025-01-01 01:42:00,P00239,,I0016,1,72.89,2025-01-01 07:42:00
L0004505,2025-01-01 01:42:00,P00184,,I0021,1,63.87,2025-01-01 07:42:00
L0004547,2025-01-01 01:46:00,P00239,,I0016,1,72.89,2025-01-01 07:46:00
L0004522,2025-01-01 01:58:00,P00178,,I0029,1,81.29,2025-01-01 07:58:00
L0000109,2025-01-01 02:00:00,P00064,EU,I0026,3,55.38,2025-01-01 22:00:00
L0000110,2025-01-01 02:00:00,P00071,EU,I0002,2,37.5,2025-01-01 20:00:00
L0000108,2025-01-01 02:00:00,P00047,NA,I0028,2,45.27,2025-01-01 15:00:00
L0000111,2025-01-01 02:00:00,P00101,NA,I0032,2,34.07,2025-01-02 13:00:00
L0000115,2025-01-01 02:00:00,P00141,NA,I0038,1,70.09,2025-01-02 05:00:00
L0000113,2025-01-01 02:00:00,P00129,EU,I0033,3,53.64,2025-01-02 12:00:00
L0000105,2025-01-01 02:00:00,P00019,ASIA,I0029,3,43.9,2025-01-01 18:00:00
L0000107,2025-01-01 02:00:00,P00032,EU,I0029,2,48.23,2025-01-02 08:00:00
L0000112,2025-01-01 02:00:00,P00128,EU,I0008,3,67.61,2025-01-02 03:00:00
L0000106,2025-01-01 02:00:00,P00029,NA,I0008,2,43.36,2025-01-02 10:00:00
L0000122,2025-01-01 02:00:00,P00236,NA,I0036,3,28.08,2025-01-01 22:00:00
L0000123,2025-01-01 02:00:00,P00265,EU,I0026,2,52.61,2025-01-02 01:00:00
L0000119,2025-01-01 02:00:00,P00153,NA,I0016,1,46.65,2025-01-01 17:00:00
L0000132,2025-01-01 02:00:00,P00413,EU,I0005,1,60.58,2025-01-01 14:00:00
L0000135,2025-01-01 02:00:00,P00466,ASIA,I0039,2,49.13,2025-01-02 10:00:00
L0000126,2025-01-01 02:00:00,P00316,ASIA,I0002,2,37.16,2025-01-01 17:00:00
L0000127,2025-01-01 02:00:00,P00317,EU,I0004,2,65.09,2025-01-02 03:00:00
L0000120,2025-01-01 02:00:00,P00202,NA,I0033,1,54.84,2025-01-02 11:00:00
L0000114,2025-01-01 02:00:00,P00137,NA,I0031,1,51.53,2025-01-02 02:00:00
L0000104,2025-01-01 02:00:00,P00017,NA,I0010,1,37.67,2025-01-02 00:00:00
L0000116,2025-01-01 02:00:00,P00143,ASIA,I0021,2,29.92,2025-01-01 15:00:00
L0000141,2025-01-01 02:00:00,P00525,NA,I0000,1,90.42,2025-01-02 13:00:00
L0000124,2025-01-01 02:00:00,P00284,NA,I0013,1,52.19,2025-01-02 02:00:00
L0000121,2025-01-01 02:00:00,P00235,EU,I0026,1,67.67,2025-01-02 03:00:00
L0000144,2025-01-01 02:00:00,P00572,ASIA,I0008,1,58.99,2025-01-02 00:00:00
L0000143,2025-01-01 02:00:00,P00558,EU,I0034,1,79.22,2025-01-01 19:00:00
L0000117,2025-01-01 02:00:00,P00147,EU,I0016,3,41.92,2025-01-02 01:00:00
L0000140,2025-01-01 02:00:00,P00516,EU,I0014,2,31.49,2025-01-02 08:00:00
L0000138,2025-01-01 02:00:00,P00488,ASIA,I0016,1,34.94,2025-01-02 08:00:00
L0000142,2025-01-01 02:00:00,P00552,EU,I0010,3,41.09,2025-01-01 18:00:00
L0000136,2025-01-01 02:00:00,P00473,NA,I0014,2,33.93,2025-01-01 23:00:00
L0000134,2025-01-01 02:00:00,P00431,EU,I0036,2,25.7,2025-01-01 23:00:00
L0000145,2025-01-01 02:00:00,P00582,EU,I0036,2,33.6,2025-01-02 03:00:00
L0000131,2025-01-01 02:00:00,P00405,ASIA,I0031,4,61.15,2025-01-01 18:00:00
L0000130,2025-01-01 02:00:00,P00394,EU,I0000,1,109.57,2025-01-01 21:00:00
L0000129,2025-01-01 02:00:00,P00379,ASIA,I0014,3,40.92,2025-01-02 03:00:00
L0000128,2025-01-01 02:00:00,P00373,ASIA,I0026,1,65.17,2025-01-01 22:00:00
L0000139,2025-01-01 02:00:00,P00514,ASIA,I0034,1,74.38,2025-01-02 04:00:00
L0000146,2025-01-01 02:00:00,P00599,EU,I0007,1,2973.36,2025-01-01 22:00:00
L0000125,2025-01-01 02:00:00,P00302,NA,I0033,2,71.81,2025-01-02 08:00:00
L0000137,2025-01-01 02:00:00,P00477,NA,I0013,1,54.54,2025-01-01 21:00:00
L0000118,2025-01-01 02:00:00,P00149,ASIA,I0002,2,34.02,2025-01-01 23:00:00
L0000133,2025-01-01 02:00:00,P00421,NA,I0005,2,35.73,2025-01-01 14:00:00
L0000171,2025-01-01 03:00:00,P00419,EU,I0003,2,70.29,2025-01-01 23:00:00
L0000174,2025-01-01 03:00:00,P00448,NA,I0019,1,45.6,2025-01-02 06:00:00
L0000173,2025-01-01 03:00:00,P00443,ASIA,I0037,1,331.38,2025-01-01 21:00:00
L0000170,2025-01-01 03:00:00,P00368,ASIA,I0033,1,55.26,2025-01-02 11:00:00
L0000167,2025-01-01 03:00:00,P00291,EU,I0010,2,58.13,2025-01-02 08:00:00
L0000175,2025-01-01 03:00:00,P00459,EU,I0005,1,48.7,2025-01-02 12:00:00
L0000169,2025-01-01 03:00:00,P00313,NA,I0013,1,54.69,2025-01-01 18:00:00
L0000180,2025-01-01 03:00:00,P00509,EU,I0015,2,42.75,2025-01-02 04:00:00
L0000182,2025-01-01 03:00:00,P00552,EU,I0038,1,59.55,2025-01-02 12:00:00
L0000178,2025-01-01 03:00:00,P00483,ASIA,I0004,3,70.06,2025-01-01 22:00:00
L0000179,2025-01-01 03:00:00,P00502,ASIA,I0038,2,54.8,2025-01-02 13:00:00
L0000181,2025-01-01 03:00:00,P00516,EU,I0005,3,62.31,2025-01-01 15:00:00
L0000183,2025-01-01 03:00:00,P00572,ASIA,I0002,1,41.83,2025-01-02 08:00:00
L0000166,2025-01-01 03:00:00,P00272,EU,I0003,2,66.69,2025-01-01 16:00:00
L0000162,2025-01-01 03:00:00,P00174,EU,I0016,2,46.72,2025-01-02 02:00:00
L0000176,2025-01-01 03:00:00,P00460,NA,I0016,2,43.71,2025-01-01 19:00:00
L0000177,2025-01-01 03:00:00,P00474,NA,I0013,2,47.77,2025-01-02 06:00:00
L0000165,2025-01-01 03:00:00,P00270,NA,I0009,2,60.04,2025-01-01 19:00:00
L0000172,2025-01-01 03:00:00,P00421,NA,I0015,2,43.98,2025-01-01 23:00:00
L0000150,2025-01-01 03:00:00,P00037,EU,I0017,1,595.49,2025-01-01 15:00:00
L0000168,2025-01-01 03:00:00,P00294,NA,I0039,2,61.02,2025-01-02 04:00:00
L0000163,2025-01-01 03:00:00,P00201,NA,I0011,2,290.7,2025-01-02 07:00:00
L0000147,2025-01-01 03:00:00,P00018,NA,I0037,1,405.43,2025-01-02 03:00:00
L0000148,2025-01-01 03:00:00,P00021,EU,I0018,2,55.39,2025-01-02 06:00:00
L0000151,2025-01-01 03:00:00,P00043,ASIA,I0005,2,59.18,2025-01-02 02:00:00
L0000152,2025-01-01 03:00:00,P00046,EU,I0038,1,50.7,2025-01-01 18:00:00
L0000153,2025-01-01 03:00:00,P00054,EU,I0028,1,52.13,2025-01-02 05:00:00
L0000154,2025-01-01 03:00:00,P00071,EU,I0021,1,40.1,2025-01-02 11:00:00
L0000149,2025-01-01 03:00:00,P00029,NA,I0003,2,66.92,2025-01-02 03:00:00
L0000164,2025-01-01 03:00:00,P00228,ASIA,I0005,1,60.59,2025-01-02 08:00:00
L0000157,2025-01-01 03:00:00,P00104,ASIA,I0034,4,88.95,2025-01-02 00:00:00
L0000158,2025-01-01 03:00:00,P00118,EU,I0000,2,91.05,2025-01-02 14:00:00
L0000159,2025-01-01 03:00:00,P00127,EU,I0023,1,79.97,2025-01-02 06:00:00
L0000160,2025-01-01 03:00:00,P00135,EU,I0015,1,41.76,2025-01-01 23:00:00
L0000161,2025-01-01 03:00:00,P00139,ASIA,I0032,1,25.41,2025-01-02 12:00:00
L0000156,2025-01-01 03:00:00,P00094,EU,I0003,1,63.29,2025-01-02 07:00:00
L0000155,2025-01-01 03:00:00,P00090,EU,I0000,1,92.75,2025-01-02 02:00:00
L0000208,2025-01-01 04:00:00,P00255,NA,I0028,1,37.05,2025-01-02 07:00:00
L0000202,2025-01-01 04:00:00,P00189,EU,I0033,1,78.87,2025-01-01 21:00:00
L0000201,2025-01-01 04:00:00,P00183,NA,I0010,2,38.54,2025-01-02 04:00:00
L0000200,2025-01-01 04:00:00,P00180,ASIA,I0008,2,55.88,2025-01-02 13:00:00
L0000199,2025-01-01 04:00:00,P00177,ASIA,I0013,1,48.95,2025-01-02 01:00:00
L0000188,2025-01-01 04:00:00,P00034,NA,I0014,1,36.85,2025-01-02 03:00:00
L0000213,2025-01-01 04:00:00,P00285,EU,I0018,1,55.57,2025-01-02 12:00:00
L0000187,2025-01-01 04:00:00,P00026,NA,I0028,1,47.53,2025-01-02 14:00:00
L0000214,2025-01-01 04:00:00,P00287,NA,I0023,2,85.26,2025-01-01 16:00:00
L0000204,2025-01-01 04:00:00,P00204,NA,I0038,2,61.1,2025-01-02 13:00:00
L0000203,2025-01-01 04:00:00,P00201,NA,I0028,1,40.24,2025-01-02 07:00:00
L0000205,2025-01-01 04:00:00,P00206,ASIA,I0016,1,36.72,2025-01-02 02:00:00
L0000193,2025-01-01 04:00:00,P00110,NA,I0009,1,61.68,2025-01-01 20:00:00
L0000206,2025-01-01 04:00:00,P00209,EU,I0030,3,68.88,2025-01-02 13:00:00
L0000217,2025-01-01 04:00:00,P00315,ASIA,I0023,2,65.62,2025-01-02 10:00:00
L0000197,2025-01-01 04:00:00,P00145,ASIA,I0020,1,43.81,2025-01-01 16:00:00
L0000198,2025-01-01 04:00:00,P00173,EU,I0021,1,43.94,2025-01-02 02:00:00
L0000190,2025-01-01 04:00:00,P00071,EU,I0033,2,65.06,2025-01-02 07:00:00
L0000196,2025-01-01 04:00:00,P00133,EU,I0004,1,56.44,2025-01-02 01:00:00
L0000195,2025-01-01 04:00:00,P00118,EU,I0039,1,54.13,2025-01-02 00:00:00
L0000192,2025-01-01 04:00:00,P00090,EU,I0028,1,52.43,2025-01-02 15:00:00
L0000191,2025-01-01 04:00:00,P00079,EU,I0033,2,55.52,2025-01-02 15:00:00
L0000189,2025-01-01 04:00:00,P00038,ASIA,I0006,1,417.99,2025-01-02 02:00:00
L0000207,2025-01-01 04:00:00,P00226,NA,I0002,2,45.98,2025-01-02 13:00:00
L0000185,2025-01-01 04:00:00,P00003,EU,I0025,2,54.69,2025-01-01 17:00:00
L0000224,2025-01-01 04:00:00,P00425,ASIA,I0002,4,38.37,2025-01-02 02:00:00
L0000232,2025-01-01 04:00:00,P00531,EU,I0038,2,61.4,2025-01-02 11:00:00
L0000210,2025-01-01 04:00:00,P00277,NA,I0013,2,49.8,2025-01-02 09:00:00
L0000237,2025-01-01 04:00:00,P00584,EU,I0034,2,81.73,2025-01-01 16:00:00
L0000226,2025-01-01 04:00:00,P00449,ASIA,I0002,1,40.02,2025-01-01 21:00:00
L0000219,2025-01-01 04:00:00,P00336,NA,I0008,2,47.71,2025-01-02 03:00:00
L0000220,2025-01-01 04:00:00,P00366,EU,I0039,1,56.92,2025-01-02 11:00:00
L0000223,2025-01-01 04:00:00,P00421,NA,I0008,1,49.77,2025-01-02 15:00:00
L0000222,2025-01-01 04:00:00,P00395,EU,I0031,1,56.85,2025-01-02 15:00:00
L0000218,2025-01-01 04:00:00,P00320,ASIA,I0009,2,66.12,2025-01-01 19:00:00
L0000221,2025-01-01 04:00:00,P00372,ASIA,I0010,3,43.02,2025-01-01 23:00:00
L0000216,2025-01-01 04:00:00,P00312,NA,I0026,2,72.62,2025-01-02 07:00:00
L0000186,2025-01-01 04:00:00,P00017,NA,I0030,1,63.41,2025-01-01 17:00:00
L0000184,2025-01-01 04:00:00,P00001,ASIA,I0021,1,37.32,2025-01-02 07:00:00
L0000209,2025-01-01 04:00:00,P00258,NA,I0034,1,76.51,2025-01-02 07:00:00
L0000194,2025-01-01 04:00:00,P00113,ASIA,I0008,2,62.7,2025-01-02 03:00:00
L0000215,2025-01-01 04:00:00,P00306,EU,I0033,1,53.56,2025-01-01 16:00:00
L0000225,2025-01-01 04:00:00,P00426,NA,I0039,3,53.77,2025-01-01 19:00:00
L0000211,2025-01-01 04:00:00,P00279,ASIA,I0033,3,52.83,2025-01-01 18:00:00
L0000228,2025-01-01 04:00:00,P00456,NA,I0020,3,60.52,2025-01-02 05:00:00
L0000229,2025-01-01 04:00:00,P00508,EU,I0013,2,55.73,2025-01-02 15:00:00
L0000230,2025-01-01 04:00:00,P00522,EU,I0028,1,41.48,2025-01-02 15:00:00
L0000231,2025-01-01 04:00:00,P00527,ASIA,I0030,2,72.26,2025-01-02 15:00:00
L0000227,2025-01-01 04:00:00,P00453,NA,I0009,2,48.75,2025-01-02 00:00:00
L0000234,2025-01-01 04:00:00,P00544,NA,I0023,1,73.18,2025-01-01 22:00:00
L0000235,2025-01-01 04:00:00,P00547,EU,I0023,1,72.65,2025-01-02 08:00:00
L0000236,2025-01-01 04:00:00,P00580,ASIA,I0029,1,39.61,2025-01-01 22:00:00
L0000212,2025-01-01 04:00:00,P00282,EU,I0001,1,371.59,2025-01-02 14:00:00
L0000233,2025-01-01 04:00:00,P00541,NA,I0029,1,46.26,2025-01-01 20:00:00
L0000238,2025-01-01 05:00:00,P00005,ASIA,I0038,1,88.06,2025-01-01 19:00:00
L0000251,2025-01-01 05:00:00,P00201,NA,I0016,2,35.52,2025-01-02 10:00:00
L0000252,2025-01-01 05:00:00,P00209,EU,I0005,1,53.55,2025-01-02 05:00:00
L0000253,2025-01-01 05:00:00,P00214,NA,I0020,2,62.49,2025-01-02 08:00:00
L0000254,2025-01-01 05:00:00,P00219,NA,I0023,1,92.65,2025-01-01 19:00:00
